id,mode,input_text,surface_meaning,hidden_meaning,emotion_label,emotion_intensity,translation,advice_style1,advice_text1,advice_style2,advice_text2,advice_style3,advice_text3,advice_style4,advice_text4,confidence,risk_flags,context_keywords
1,여자어,괜찮아,문제없다고 표현,실제로는 화나고 서운함 (역설표현),분노,4,괜찮지 않아 와서 달래줘,적극대응형,괜찮지 않은 것 같은데? 내가 뭘 잘못했는지 말해줘,공감접근형,괜찮다고 하지만 표정이 안 괜찮아 보여. 옆에 있어도 될까?,직접행동형,괜찮다는 말 믿을 수 없어. 지금 바로 만나자,유머완화형,괜찮다는 여자는 괜찮지 않다는 법칙 발동! 뭐가 속상해? 😅,95,"감정숨김,관심요구",갈등상황
2,여자어,아니야 괜찮다고,강하게 괜찮다고 부정,더욱 화나고 관심받고 싶음 (강화된 역설),분노,5,전혀 괜찮지 않아! 더 신경써줘!,즉시대응형,괜찮지 않은 게 너무 티 나. 지금 당장 얘기하자,진심표현형,괜찮다고 하는데 왜 이렇게 마음이 아프지? 솔직히 말해줘,물리적접근형,말로는 괜찮다 하니까 직접 보러 갈게. 어디 있어?,끈질한관심형,괜찮다고 100번 말해도 안 믿어. 네가 웃을 때까지 계속 물어볼 거야,96,"감정폭발,즉시관심필요",강한갈등
3,여자어,괜찮아 혼자 있고 싶어,혼자 있고 싶다고 함,실제로는 와주길 바라는 마음 (반대요청),서운함,4,혼자 두지 말고 와서 위로해줘,반대실행형,혼자 있고 싶다는 말 무시하고 바로 찾아갈게,부드러운침투형,혼자 있고 싶겠지만 그래도 옆에만 있을게 말 안 걸어도 돼,지속관심형,혼자 있고 싶다니까 30분마다 안부 문자 보낼게 😊,직관적대응형,혼자 있고 싶은 사람은 이렇게 말 안 해. 뭐 먹고 싶어?,93,역설요청,혼자두기요청
4,여자어,알아서 해,스스로 해결하라는 의미,화나서 관심끌기 시도 (관심유도),분노,4,알아서 하지 말고 나한테 신경써줘,적극해결형,알아서 할 게 아니라 같이 해결하자. 뭐가 문제야?,관심집중형,알아서 하기보다는 네 의견이 궁금해. 어떻게 생각해?,화해시도형,알아서 하라니까 화난 거 같은데 내가 뭘 잘못했어?,끈질한대화형,알아서 하는 건 나중에 하고 지금은 너랑 얘기하고 싶어,89,관심요구,의사결정
5,여자어,네가 알아서 판단해,판단을 맡긴다는 표현,실제로는 자신의 의견 반영 기대 (배려요구),서운함,3,내 마음을 헤아려서 판단해줘,마음읽기형,알아서 판단하기보다는 네 마음이 궁금해. 진짜 원하는 게 뭐야?,공동결정형,혼자 판단하기 어려워. 같이 생각해보자,배려확인형,내가 판단해도 되지만 네가 원하는 방향으로 하고 싶어,솔직요청형,알아서 판단하라는 건 힌트 달라는 뜻이지? 솔직히 말해줘,85,배려기대,선택위임
6,여자어,나는 신경쓰지마,신경쓰지 말라고 함,더 신경써달라는 역설적 요청 (관심갈구),서운함,4,나한테 더 신경써줘,반대행동형,신경 안 쓸 수가 없어. 너한테 관심 많거든,지속관심형,신경 쓰지 말라고? 더 신경 쓸 거야. 뭐가 속상해?,솔직대응형,신경쓰지 말라는 사람한테 왜 더 신경 쓰이지? 무슨 일이야?,유머적접근형,신경 안 쓰기 도전 실패! 계속 생각나는데 어떡해? 😂,92,역설요청,관심거부
7,여자어,바쁘면 신경쓰지마,바쁠 때는 관심두지 말라는 배려,바빠도 신경써주길 바라는 마음 (우선순위확인),아쉬움,3,바빠도 나를 우선순위로 생각해줘,우선순위표현형,바빠도 너한테는 시간 있어. 무슨 일인지 말해줘,시간확보형,바쁜 건 핑계고 너한테 신경 안 쓸 이유는 없어,배려거절형,바쁘다고 신경 안 쓰면 안 돼. 네가 더 중요해,구체적약속형,지금 바빠도 30분 뒤에는 자유야. 그때 전화할게,88,우선순위테스트,시간배려
8,여자어,됐어 그냥 잊어,잊어버리자는 제안,잊지 말고 기억해달라는 역설적 요청 (기억요구),서운함,4,잊지 말고 계속 신경써줘,기억강조형,잊을 수 없어. 이런 건 기억해야 하는 거야,지속관심형,그냥 잊기에는 너무 중요한 일인 것 같은데?,솔직대화형,잊어버리기보다는 제대로 얘기해보자. 뭐가 속상했어?,반대실행형,잊으라고? 오히려 더 기억해둘게. 앞으로 조심할게,87,역설요청,기억포기
9,여자어,괜찮아 혼자 할게,혼자서 처리하겠다는 의지,도움과 관심을 바라는 마음 (도움요청),서운함,3,혼자 하지 말고 같이 해줘,적극참여형,혼자 하지 마 내가 도와줄게. 뭐부터 시작할까?,강제동참형,혼자 할 거면 나도 옆에서 혼자 할게. 같이 혼자 하자,부담덜기형,혼자 하기 힘든 일이잖아. 나랑 같이 하면 더 쉬울 텐데,관계강조형,혼자 하는 건 서운해. 우리 사이에 뭘 혼자 해?,89,도움거절,독립선언
10,여자어,상관없어,관심없다는 표현,실제로는 매우 신경쓰이는 상황 (관심위장),분노,3,상관있어 신경써줘,진심파악형,상관없다는 말투가 상관있어 보이는데? 솔직히 말해줘,관심표현형,너한테는 상관없어도 나한테는 상관있어. 어떻게 생각해?,반대추측형,상관없다고? 표정 보니까 엄청 상관있는 것 같은데 😏,지속질문형,상관없다고 하니까 더 궁금해져. 정말 괜찮은 거야?,85,감정위장,무관심표현
